fov,cell_ID,x_global_px,y_global_px,x_local_px,y_local_px,z,target,CellComp
2,0,5658.04444444444,-156892.413333333,5163.6,3340.92,2,FAS,0
2,0,5677.66944444444,-157229.183333333,5183.225,3004.15,2,EFNA1,0
2,0,5816.40584444444,-157131.483333333,5321.9614,3101.85,2,CALB1,0
2,0,5914.71144444445,-156755.733343333,5420.267,3477.59999,2,CXCL6,0
2,0,5542.14444444444,-156902.658333333,5047.7,3330.675,2,TNFRSF17,0
2,0,5936.85804444444,-157079.733333333,5442.4136,3153.6,2,DUSP6,0
2,0,5412.66744444444,-157020.202593333,4918.223,3213.13074,2,MS4A4A,0
2,0,5356.89414444444,-156999.683373333,4862.4497,3233.64996,2,COL4A5,Membrane
2,0,5903.12414444444,-157083.373313333,5408.6797,3149.96002,2,ITGA6,0
2,0,5467.71884444444,-156927.383333333,4973.2744,3305.95,2,ST6GAL1,0
2,0,5762.65194444445,-156972.794833333,5268.2075,3260.5385,2,BAX,0
2,0,5533.75404444444,-156910.803363333,5039.3096,3322.52997,2,IGFBP6,0
2,0,5532.95904444444,-157098.033333333,5038.5146,3135.3,2,MALAT1,0
2,0,5511.24444444445,-157072.023333333,5016.8,3161.31,2,MZT2A,0
2,0,5875.91444444445,-156725.403323333,5381.47,3507.93001,2,CD55,0
2,0,5763.96644444445,-157193.433333333,5269.522,3039.9,2,IL2RB,0
2,0,5745.41074444445,-157172.666733333,5250.9663,3060.6666,2,RPL37,0
2,0,5892.68904444445,-156968.744463333,5398.2446,3264.58887,2,S100A9,0
2,0,5924.76474444445,-157084.393393333,5430.3203,3148.93994,2,IL22RA1,0
2,0,5516.76084444444,-156982.816633333,5022.3164,3250.5167,2,RBPJ,0
2,0,5786.21984444445,-156747.683333333,5291.7754,3485.65,2,ABL2,0
2,0,5534.68744444444,-157091.261893333,5040.243,3142.07144,2,ITGA1,0
2,0,5520.67394444444,-157132.615683333,5026.2295,3100.71765,2,HSPB1,0
2,0,5799.28674444444,-157167.241733333,5304.8423,3066.0916,2,ST6GAL1,0
2,0,5388.68714444444,-157078.611893333,4894.2427,3154.72144,2,FCRLA,0
2,0,5762.71544444444,-156946.690483333,5268.271,3286.64285,2,SPARCL1,0
2,0,5871.02794444444,-157215.833333333,5376.5835,3017.5,2,HBA1,0
2,0,5806.01914444445,-157134.641633333,5311.5747,3098.6917,2,IL13RA1,0
2,0,5727.62804444445,-157175.550073333,5233.1836,3057.78326,2,NOTCH3,0
2,0,5399.48444444444,-156613.893331333,4905.04,3619.440002,2,COL3A1,0
2,0,5830.30244444445,-156966.025013333,5335.858,3267.30832,2,HLA-A,0
2,0,5750.69444444445,-157031.833333333,5256.25,3201.5,2,IL12RB2,0
2,0,5904.23694444444,-156905.490473333,5409.7925,3327.84286,2,ITGB5,0
2,0,5834.14444444445,-156966.148733333,5339.7,3267.1846,2,CD68,Membrane
2,0,5910.90294444444,-156804.891663333,5416.4585,3428.44167,2,SPRY2,0
2,0,5898.33014444444,-157064.090433333,5403.8857,3169.2429,2,HLA-DQB1,0
2,0,5319.81044444445,-157155.533333333,4825.366,3077.8,2,VEGFC,0
2,0,5385.53744444444,-157055.704763333,4891.093,3177.62857,2,CTNNB1,0
2,0,5647.47274444445,-157113.919083333,5153.0283,3119.41425,2,KRT6C,0
2,0,5783.32184444444,-156947.922233333,5288.8774,3285.4111,2,IRF4,0
2,0,5519.28774444444,-157132.776233333,5024.8433,3100.5571,2,RSPO1,0
2,0,5401.60044444444,-157158.955533333,4907.156,3074.3778,2,RARB,0
2,0,5856.77794444444,-156714.500003333,5362.3335,3518.83333,2,NRG4,0
2,0,5743.27404444444,-157068.713303333,5248.8296,3164.62003,2,IL20RA,0
2,0,5741.44444444445,-156814.199983333,5247,3419.13335,2,DUSP5,0
2,0,5897.11094444444,-156787.633333333,5402.6665,3445.7,2,BID,0
